#{"t_start": 1761919861.099034, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
1055.0,7169,1240.748764
355.0,2796,1242.105353
520.0,3693,1243.879897
545.0,4007,1245.790328
770.0,5257,1248.316067
725.0,4209,1256.05911
415.0,3377,1257.690104
330.0,2220,1258.764534
440.0,3553,1260.462723
345.0,2403,1261.615144
290.0,2003,1262.578915
800.0,3755,1264.386063
555.0,3920,1266.250744
515.0,2893,1267.648169
575.0,4163,1269.624004
380.0,3583,1271.354474
600.0,3903,1273.213601
550.0,2901,1274.615473
600.0,4797,1276.892878
800.0,4449,1279.018281
570.0,4731,1281.26461
515.0,3911,1283.130397
775.0,4427,1285.247211
570.0,5004,1287.634979
575.0,5423,1290.225139
585.0,4433,1292.369975
335.0,2991,1293.81083
400.0,3689,1295.58922
315.0,2412,1296.752747
800.0,4177,1298.730422
410.0,3003,1300.164352
510.0,3821,1301.988641
375.0,3699,1308.137645
195.0,2041,1309.12271
570.0,4492,1311.260168
725.0,4951,1313.638065
270.0,2319,1314.760497
485.0,3717,1316.545369
550.0,3851,1318.386145
600.0,5469,1320.988954
1060.0,6109,1323.913997
605.0,4273,1325.930865
470.0,3643,1327.667332
355.0,3379,1329.297125
540.0,3414,1330.906433
745.0,3435,1332.541332
490.0,3597,1334.243796
440.0,3665,1336.007982
545.0,3895,1337.863765
305.0,2859,1339.233086
585.0,4022,1341.133184
540.0,3099,1342.61315
515.0,3477,1344.281015
550.0,4255,1346.311301
220.0,2185,1347.362034
380.0,3125,1348.868707
775.0,5145,1351.330043
490.0,4181,1353.32729
775.0,4086,1355.280576
365.0,2437,1361.741135
600.0,4129,1363.724056
830.0,4651,1365.930882
575.0,3842,1367.750463
755.0,4291,1369.784562
600.0,4417,1371.896635
605.0,3873,1373.734894
705.0,2879,1375.121829
965.0,7357,1378.662316
650.0,4463,1380.796622
280.0,2815,1382.166499
445.0,3607,1383.8839
600.0,4391,1385.959203
515.0,3845,1387.799126
605.0,4555,1389.96692
720.0,4580,1392.16162
595.0,3287,1393.753614
540.0,4569,1395.932046
300.0,2987,1397.372689
785.0,5933,1400.223975
600.0,4519,1402.365633
570.0,4281,1404.412582
745.0,4537,1406.584148
455.0,2826,1407.949992
975.0,5397,1415.895067
770.0,4117,1417.83852
550.0,4346,1419.929289
745.0,4261,1421.970572
715.0,4172,1423.961616
540.0,4667,1426.186401
755.0,3329,1427.789767
465.0,3509,1429.476145
555.0,4955,1431.84965
995.0,7143,1435.259122
750.0,4233,1437.284641
575.0,3315,1438.878794
1080.0,6225,1441.855381
600.0,4041,1443.793982
425.0,2732,1445.117489
600.0,4361,1447.200525
525.0,4119,1449.175361
1180.0,5763,1451.93863
505.0,3341,1453.537407
775.0,3841,1455.366822
575.0,4009,1457.283079
745.0,4366,1459.352037
610.0,3719,1461.122882
480.0,3375,1467.713184
310.0,2447,1468.914721
575.0,3987,1470.818898
600.0,3843,1472.647369
345.0,2783,1473.983423
530.0,3314,1475.584904
285.0,2455,1476.783511
545.0,3861,1478.618122
800.0,3735,1480.397647
530.0,3620,1482.135875
450.0,3387,1483.754776
310.0,2243,1484.839448
800.0,3975,1486.732981
600.0,4057,1488.668273
295.0,2639,1489.943427
565.0,3461,1491.612363
600.0,3803,1493.419341
655.0,3825,1495.261862
600.0,4027,1497.174315
250.0,2924,1498.592629
550.0,3885,1500.453637
1135.0,5911,1503.303559
350.0,2967,1504.747554
600.0,4175,1506.749865
495.0,3705,1508.512789
370.0,3359,1510.137576
570.0,3871,1511.982219
800.0,5313,1514.503584
715.0,4027,1520.451567
445.0,3883,1522.308239
